container_id,container_sku,Type,container_size,container_condition,location_name,latitude,longitude,available_date,price_usd,owner_id,zip_code,last_inspection_date,,,,,,,,
90,20HCBNBAL,Standard Container,20HC,Brand New,Baltimore,39.28309,-76.54088,2025-05-30,1,GCE,21224,2025-05-30,,,,,,,,
91,40DCASBAL,Standard Container,40DC,AS IS ,Baltimore,39.28309,-76.54088,2025-05-30,1,GCE,21224,2025-05-30,,,,,,,,
92,40DCWWBAL,Standard Container,40DC,Wind and Water Tight,Baltimore,39.28309,-76.54088,2025-05-30,1,GCE,21224,2025-05-30,,,,,,,,
93,40DCCWBAL,Standard Container,40DC,Cargo Worthy ,Baltimore,39.28309,-76.54088,2025-05-30,1,GCE,21224,2025-05-30,,,,,,,,
94,40DCCLBAL,Standard Container,40DC,IICL,Baltimore,39.28309,-76.54088,2025-05-30,1,GCE,21224,2025-05-30,,,,,,,,
95,40DCBNBAL,Standard Container,40DC,Brand New,Baltimore,39.28309,-76.54088,2025-05-30,1,GCE,21224,2025-05-30,,,,,,,,
96,40HCASBAL,Standard Container,40HC,AS IS ,Baltimore,39.28309,-76.54088,2025-05-30,1,GCE,21224,2025-05-30,,,,,,,,
97,40HCWWBAL,Standard Container,40HC,Wind and Water Tight,Baltimore,39.28309,-76.54088,2025-05-30,1,GCE,21224,2025-05-30,,,,,,,,
98,40HCCWBAL,Standard Container,40HC,Cargo Worthy ,Baltimore,39.28309,-76.54088,2025-05-30,1,GCE,21224,2025-05-30,,,,,,,,
99,40HCCLBAL,Standard Container,40HC,IICL,Baltimore,39.28309,-76.54088,2025-05-30,1,GCE,21224,2025-05-30,,,,,,,,
100,40HCBNBAL,Standard Container,40HC,Brand New,Baltimore,39.28309,-76.54088,2025-05-30,1,GCE,21224,2025-05-30,,,,,,,,
101,45HCASBAL,Open Top Container,45HC,AS IS ,Baltimore,39.28309,-76.54088,2025-05-30,1,GCE,21224,2025-05-30,,,,,,,,
102,45HCWWBAL,Standard Container,45HC,Wind and Water Tight,Baltimore,39.28309,-76.54088,2025-05-30,1,GCE,21224,2025-05-30,,,,,,,,
