container_id,container_sku,container_type,container_size,container_condition,location_name,latitude,longitude,available_date,price_usd,owner_id,zip_code,last_inspection_date
129,40DCBNCIN,40DC Brand New Container,40DC,Brand New,Cincinnati,39.341965,-84.406761,2025-05-30,4400,GCE,45069,2025-05-30
130,40HCWWCIN,40HC Wind and Water Tight Container,40HC,Wind and Water Tight,Cincinnati,39.341965,-84.406761,2025-05-30,2500,GCE,45069,2025-05-30
131,40HCCWCIN,40HC Cargo Worthy Container,40HC,Cargo Worthy ,Cincinnati,39.341965,-84.406761,2025-05-30,2600,GCE,45069,2025-05-30
132,40HCCLCIN,40HC IICL Container,40HC,IICL,Cincinnati,39.341965,-84.406761,2025-05-30,3500,GCE,45069,2025-05-30
133,40HCBNCIN,40HC Brand New Container,40HC,Brand New,Cincinnati,39.341965,-84.406761,2025-05-30,4300,GCE,45069,2025-05-30
134,45HCBNCIN,45HC Brand New Container,45HC,Brand New,Cincinnati,39.341965,-84.406761,2025-05-30,11000,GCE,45069,2025-05-30
135,53HCBNCIN,53HC Brand New Container,53HC,Brand New,Cincinnati,39.341965,-84.406761,2025-05-30,18500,GCE,45069,2025-05-30
136,20SDBNCIN,20DC Brand New Side Door Container,20DC,Brand New,Cincinnati,39.341965,-84.406761,2025-05-30,5200,GCE,45069,2025-05-30
137,40HCSDBNCIN,40HC Brand New Side Door Container,40HC,Brand New,Cincinnati,39.341965,-84.406761,2025-05-30,7000,GCE,45069,2025-05-30
138,20DDBNCIN,20DC Brand New Double Door Container,20DC,Brand New,Cincinnati,39.341965,-84.406761,2025-05-30,4200,GCE,45069,2025-05-30
140,40HCDDBNCIN,40HC Brand New Double Door Container,40HC,Brand New,Cincinnati,39.341965,-84.406761,2025-05-30,5200,GCE,45069,2025-05-30
143,20RFBNCIN,20DC Brand New Refrigerated Container,20DC,Brand New,Cincinnati,39.341965,-84.406761,2025-05-30,18500,GCE,45069,2025-05-30
144,40HCRFASCIN,40HC AS-IS Refrigerated Container,40HC,AS IS ,Cincinnati,39.341965,-84.406761,2025-05-30,4200,GCE,45069,2025-05-30
146,40HCRFBNCIN,40HC Brand New Refrigerated Container,40HC,Brand New,Cincinnati,39.341965,-84.406761,2025-05-30,25000,GCE,45069,2025-05-30
147,20OTCWCIN,20DC Cargo Worthy Open Top Container,20DC,Cargo Worthy ,Cincinnati,39.341965,-84.406761,2025-05-30,6200,GCE,45069,2025-05-30
148,20OTBNCIN,20DC Brand New Open Top Container,20DC,Brand New,Cincinnati,39.341965,-84.406761,2025-05-30,8500,GCE,45069,2025-05-30
149,40HCOTCWCIN,40HC Cargo Worthy Open Top Container,40HC,Cargo Worthy ,Cincinnati,39.341965,-84.406761,2025-05-30,8800,GCE,45069,2025-05-30
150,40HCOTBNCIN,40HC Brand New Open Top Container,40HC,Brand New,Cincinnati,39.341965,-84.406761,2025-05-30,13000,GCE,45069,2025-05-30
151,20DCWWCLE,20DC Wind and Water Tight Container,20DC,Wind and Water Tight,Cleveland,41.441676,-81.769296,2025-05-30,2000,GCE,44135,2025-05-30
152,20DCCWCLE,20DC Cargo Worthy Container,20DC,Cargo Worthy ,Cleveland,41.441676,-81.769296,2025-05-30,2200,GCE,44135,2025-05-30
153,20DCCLCLE,20DC IICL Container,20DC,IICL,Cleveland,41.441676,-81.769296,2025-05-30,2800,GCE,44135,2025-05-30
154,20DCBNCLE,20DC Brand New Container,20DC,Brand New,Cleveland,41.441676,-81.769296,2025-05-30,3300,GCE,44135,2025-05-30
155,20HCBNCLE,20HC Brand New Container,20HC,Brand New,Cleveland,41.441676,-81.769296,2025-05-30,4200,GCE,44135,2025-05-30
156,40DCWWCLE,40DC Wind and Water Tight Container,40DC,Wind and Water Tight,Cleveland,41.441676,-81.769296,2025-05-30,2200,GCE,44135,2025-05-30
157,40DCCWCLE,40DC Cargo Worthy Container,40DC,Cargo Worthy ,Cleveland,41.441676,-81.769296,2025-05-30,2300,GCE,44135,2025-05-30
158,40DCCLCLE,40DC IICL Container,40DC,IICL,Cleveland,41.441676,-81.769296,2025-05-30,3600,GCE,44135,2025-05-30
159,40DCBNCLE,40DC Brand New Container,40DC,Brand New,Cleveland,41.441676,-81.769296,2025-05-30,4400,GCE,44135,2025-05-30
160,40HCWWCLE,40HC Wind and Water Tight Container,40HC,Wind and Water Tight,Cleveland,41.441676,-81.769296,2025-05-30,2500,GCE,44135,2025-05-30
161,40HCCWCLE,40HC Cargo Worthy Container,40HC,Cargo Worthy ,Cleveland,41.441676,-81.769296,2025-05-30,2600,GCE,44135,2025-05-30
162,40HCCLCLE,40HC IICL Container,40HC,IICL,Cleveland,41.441676,-81.769296,2025-05-30,3500,GCE,44135,2025-05-30
163,40HCBNCLE,40HC Brand New Container,40HC,Brand New,Cleveland,41.441676,-81.769296,2025-05-30,4300,GCE,44135,2025-05-30
164,45HCBNCLE,45HC Brand New Container,45HC,Brand New,Cleveland,41.441676,-81.769296,2025-05-30,11000,GCE,44135,2025-05-30
165,53HCBNCLE,53HC Brand New Container,53HC,Brand New,Cleveland,41.441676,-81.769296,2025-05-30,18500,GCE,44135,2025-05-30
166,20SDBNCLE,20DC Brand New Side Door Container,20DC,Brand New,Cleveland,41.441676,-81.769296,2025-05-30,5200,GCE,44135,2025-05-30
167,40HCSDBNCLE,40HC Brand New Side Door Container,40HC,Brand New,Cleveland,41.441676,-81.769296,2025-05-30,7000,GCE,44135,2025-05-30
168,20DDBNCLE,20DC Brand New Double Door Container,20DC,Brand New,Cleveland,41.441676,-81.769296,2025-05-30,4200,GCE,44135,2025-05-30
170,40HCDDBNCLE,40HC Brand New Double Door Container,40HC,Brand New,Cleveland,41.441676,-81.769296,2025-05-30,5200,GCE,44135,2025-05-30
173,20RFBNCLE,20DC Brand New Refrigerated Container,20DC,Brand New,Cleveland,41.441676,-81.769296,2025-05-30,18500,GCE,44135,2025-05-30
174,40HCRFASCLE,40HC AS-IS Refrigerated Container,40HC,AS IS ,Cleveland,41.441676,-81.769296,2025-05-30,4200,GCE,44135,2025-05-30
176,40HCRFBNCLE,40HC Brand New Refrigerated Container,40HC,Brand New,Cleveland,41.441676,-81.769296,2025-05-30,25000,GCE,44135,2025-05-30
177,20OTCWCLE,20DC Cargo Worthy Open Top Container,20DC,Cargo Worthy ,Cleveland,41.441676,-81.769296,2025-05-30,6200,GCE,44135,2025-05-30
178,20OTBNCLE,20DC Brand New Open Top Container,20DC,Brand New,Cleveland,41.441676,-81.769296,2025-05-30,8500,GCE,44135,2025-05-30
179,40HCOTCWCLE,40HC Cargo Worthy Open Top Container,40HC,Cargo Worthy ,Cleveland,41.441676,-81.769296,2025-05-30,8800,GCE,44135,2025-05-30
180,40HCOTBNCLE,40HC Brand New Open Top Container,40HC,Brand New,Cleveland,41.441676,-81.769296,2025-05-30,13000,GCE,44135,2025-05-30
181,20DCWWCOL,20DC Wind and Water Tight Container,20DC,Wind and Water Tight,Columbus,39.9215,-82.9833,2025-05-30,2000,GCE,43207,2025-05-30
182,20DCCWCOL,20DC Cargo Worthy Container,20DC,Cargo Worthy ,Columbus,39.9215,-82.9833,2025-05-30,2200,GCE,43207,2025-05-30
183,20DCCLCOL,20DC IICL Container,20DC,IICL,Columbus,39.9215,-82.9833,2025-05-30,2800,GCE,43207,2025-05-30
184,20DCBNCOL,20DC Brand New Container,20DC,Brand New,Columbus,39.9215,-82.9833,2025-05-30,3300,GCE,43207,2025-05-30
185,20HCBNCOL,20HC Brand New Container,20HC,Brand New,Columbus,39.9215,-82.9833,2025-05-30,4200,GCE,43207,2025-05-30
186,40DCWWCOL,40DC Wind and Water Tight Container,40DC,Wind and Water Tight,Columbus,39.9215,-82.9833,2025-05-30,2200,GCE,43207,2025-05-30
187,40DCCWCOL,40DC Cargo Worthy Container,40DC,Cargo Worthy ,Columbus,39.9215,-82.9833,2025-05-30,2300,GCE,43207,2025-05-30
188,40DCCLCOL,40DC IICL Container,40DC,IICL,Columbus,39.9215,-82.9833,2025-05-30,3600,GCE,43207,2025-05-30
189,40DCBNCOL,40DC Brand New Container,40DC,Brand New,Columbus,39.9215,-82.9833,2025-05-30,4400,GCE,43207,2025-05-30
190,40HCWWCOL,40HC Wind and Water Tight Container,40HC,Wind and Water Tight,Columbus,39.9215,-82.9833,2025-05-30,2500,GCE,43207,2025-05-30
191,40HCCWCOL,40HC Cargo Worthy Container,40HC,Cargo Worthy ,Columbus,39.9215,-82.9833,2025-05-30,2600,GCE,43207,2025-05-30
192,40HCCLCOL,40HC IICL Container,40HC,IICL,Columbus,39.9215,-82.9833,2025-05-30,3500,GCE,43207,2025-05-30
193,40HCBNCOL,40HC Brand New Container,40HC,Brand New,Columbus,39.9215,-82.9833,2025-05-30,4300,GCE,43207,2025-05-30
194,45HCBNCOL,45HC Brand New Container,45HC,Brand New,Columbus,39.9215,-82.9833,2025-05-30,11000,GCE,43207,2025-05-30
195,53HCBNCOL,53HC Brand New Container,53HC,Brand New,Columbus,39.9215,-82.9833,2025-05-30,18500,GCE,43207,2025-05-30
196,20SDBNCOL,20DC Brand New Side Door Container,20DC,Brand New,Columbus,39.9215,-82.9833,2025-05-30,5200,GCE,43207,2025-05-30
197,40HCSDBNCOL,40HC Brand New Side Door Container,40HC,Brand New,Columbus,39.9215,-82.9833,2025-05-30,7000,GCE,43207,2025-05-30
198,20DDBNCOL,20DC Brand New Double Door Container,20DC,Brand New,Columbus,39.9215,-82.9833,2025-05-30,4200,GCE,43207,2025-05-30
200,40HCDDBNCOL,40HC Brand New Double Door Container,40HC,Brand New,Columbus,39.9215,-82.9833,2025-05-30,5200,GCE,43207,2025-05-30
203,20RFBNCOL,20DC Brand New Refrigerated Container,20DC,Brand New,Columbus,39.9215,-82.9833,2025-05-30,18500,GCE,43207,2025-05-30
204,40HCRFASCOL,40HC AS-IS Refrigerated Container,40HC,AS IS ,Columbus,39.9215,-82.9833,2025-05-30,4200,GCE,43207,2025-05-30
206,40HCRFBNCOL,40HC Brand New Refrigerated Container,40HC,Brand New,Columbus,39.9215,-82.9833,2025-05-30,25000,GCE,43207,2025-05-30
207,20OTCWCOL,20DC Cargo Worthy Open Top Container,20DC,Cargo Worthy ,Columbus,39.9215,-82.9833,2025-05-30,6200,GCE,43207,2025-05-30
