container_id,container_sku,container_type,container_size,container_condition,location_name,latitude,longitude,available_date,price_usd,owner_id,zip_code,last_inspection_date,,,,location_name,
108,40DCCLCIN,40DC IICL Container,40DC,IICL,Cincinnati,39.341965,-84.406761,2025-05-30,3600,GCE,45069,2025-05-30,,,,,
109,40DCBNCIN,40DC Brand New Container,40DC,Brand New,Cincinnati,39.341965,-84.406761,2025-05-30,4400,GCE,45069,2025-05-30,,,,,
110,40HCWWCIN,40HC Wind and Water Tight Container,40HC,Wind and Water Tight,Cincinnati,39.341965,-84.406761,2025-05-30,2500,GCE,45069,2025-05-30,,,,,
111,40HCCWCIN,40HC Cargo Worthy Container,40HC,Cargo Worthy ,Cincinnati,39.341965,-84.406761,2025-05-30,2600,GCE,45069,2025-05-30,,,,,
112,40HCCLCIN,40HC IICL Container,40HC,IICL,Cincinnati,39.341965,-84.406761,2025-05-30,3500,GCE,45069,2025-05-30,,,,,
113,40HCBNCIN,40HC Brand New Container,40HC,Brand New,Cincinnati,39.341965,-84.406761,2025-05-30,4300,GCE,45069,2025-05-30,,,,,
114,45HCBNCIN,45HC Brand New Container,45HC,Brand New,Cincinnati,39.341965,-84.406761,2025-05-30,11000,GCE,45069,2025-05-30,,,,,
115,53HCBNCIN,53HC Brand New Container,53HC,Brand New,Cincinnati,39.341965,-84.406761,2025-05-30,18500,GCE,45069,2025-05-30,,,,,
116,20SDBNCIN,20DC Brand New Side Door Container,20DC,Brand New,Cincinnati,39.341965,-84.406761,2025-05-30,5200,GCE,45069,2025-05-30,,,,,
117,40HCSDBNCIN,40HC Brand New Side Door Container,40HC,Brand New,Cincinnati,39.341965,-84.406761,2025-05-30,7000,GCE,45069,2025-05-30,,,,,
118,20DDBNCIN,20DC Brand New Double Door Container,20DC,Brand New,Cincinnati,39.341965,-84.406761,2025-05-30,4200,GCE,45069,2025-05-30,,,,,
119,40HCDDBNCIN,40HC Brand New Double Door Container,40HC,Brand New,Cincinnati,39.341965,-84.406761,2025-05-30,5200,GCE,45069,2025-05-30,,,,,
120,40HCRFASCIN,40HC AS-IS Refrigerated Container,40HC,AS IS ,Cincinnati,39.341965,-84.406761,2025-05-30,4200,GCE,45069,2025-05-30,,,,,
121,40HCRFBNCIN,40HC Brand New Refrigerated Container,40HC,Brand New,Cincinnati,39.341965,-84.406761,2025-05-30,25000,GCE,45069,2025-05-30,,,,,
122,20OTCWCIN,20DC Cargo Worthy Open Top Container,20DC,Cargo Worthy ,Cincinnati,39.341965,-84.406761,2025-05-30,6200,GCE,45069,2025-05-30,,,,,
123,20OTBNCIN,20DC Brand New Open Top Container,20DC,Brand New,Cincinnati,39.341965,-84.406761,2025-05-30,8500,GCE,45069,2025-05-30,,,,,
124,40HCOTCWCIN,40HC Cargo Worthy Open Top Container,40HC,Cargo Worthy ,Cincinnati,39.341965,-84.406761,2025-05-30,8800,GCE,45069,2025-05-30,,,,,
125,40HCOTBNCIN,40HC Brand New Open Top Container,40HC,Brand New,Cincinnati,39.341965,-84.406761,2025-05-30,13000,GCE,45069,2025-05-30,,,,,
126,20DCWWCLE,20DC Wind and Water Tight Container,20DC,Wind and Water Tight,Cleveland,41.441676,-81.769296,2025-05-30,2000,GCE,44135,2025-05-30,,,,,
127,20DCCWCLE,20DC Cargo Worthy Container,20DC,Cargo Worthy ,Cleveland,41.441676,-81.769296,2025-05-30,2200,GCE,44135,2025-05-30,,,,,
128,20DCCLCLE,20DC IICL Container,20DC,IICL,Cleveland,41.441676,-81.769296,2025-05-30,2800,GCE,44135,2025-05-30,,,,,
129,20DCBNCLE,20DC Brand New Container,20DC,Brand New,Cleveland,41.441676,-81.769296,2025-05-30,3300,GCE,44135,2025-05-30,,,,,
130,20HCBNCLE,20HC Brand New Container,20HC,Brand New,Cleveland,41.441676,-81.769296,2025-05-30,4200,GCE,44135,2025-05-30,,,,,
131,40DCWWCLE,40DC Wind and Water Tight Container,40DC,Wind and Water Tight,Cleveland,41.441676,-81.769296,2025-05-30,2200,GCE,44135,2025-05-30,,,,,
132,40DCCWCLE,40DC Cargo Worthy Container,40DC,Cargo Worthy ,Cleveland,41.441676,-81.769296,2025-05-30,2300,GCE,44135,2025-05-30,,,,,
133,40DCCLCLE,40DC IICL Container,40DC,IICL,Cleveland,41.441676,-81.769296,2025-05-30,3600,GCE,44135,2025-05-30,,,,,
134,40DCBNCLE,40DC Brand New Container,40DC,Brand New,Cleveland,41.441676,-81.769296,2025-05-30,4400,GCE,44135,2025-05-30,,,,,
135,40HCWWCLE,40HC Wind and Water Tight Container,40HC,Wind and Water Tight,Cleveland,41.441676,-81.769296,2025-05-30,2500,GCE,44135,2025-05-30,,,,,
136,40HCCWCLE,40HC Cargo Worthy Container,40HC,Cargo Worthy ,Cleveland,41.441676,-81.769296,2025-05-30,2600,GCE,44135,2025-05-30,,,,,
137,40HCCLCLE,40HC IICL Container,40HC,IICL,Cleveland,41.441676,-81.769296,2025-05-30,3500,GCE,44135,2025-05-30,,,,,
