Country,City,Code,Depot Name,Address (Short),Latitude,Longitude,,
United Kingdom,Glasgow,GLAC,Fraser Limited,"8-10 Hornock Road, Coatbridge ML5 2D",55.8714,-4.0352,,
Italy,Genoa,GOAB,Rail Hub Europe Spa,"Strada Savonesa 12/16, 15050 Tortona/Rivalta",44.8979,8.8808,,
Italy,Genoa,GOAD,Spinelli S.r.l. - Genova Cornigliano,"Via Lungomare Canepa, 16152 Genova Cornigliano",44.4327,8.8721,,
Italy,Genoa,GOAI,Derrick Service s.r.l.,"Via del Bovo, 15061 Arquata Scrivia",44.7143,8.8686,,
Italy,Genoa,GOAK,Spinelli S.r.l. - Vignole Borbera,"Via Martiri della Benedicta 97, 15060 Vignole Borbera",44.7198,8.8828,,
Sweden,Gothenburg,GOTA,Lundby Container Svc AB,"Synnerödsvägen 15, 418 78 Göteborg",57.7182,11.8514,,
Korea,Gwangyang,GWAA,Kukdong Total Logistics Service,"807, Doi-dong, Gwangyang City, Jeollanamdo",34.94,127.6957,,
Ecuador,Guayaquil,GYEE,Aretina S.A.,"Calle Pública, Solar 4, Manzana 68, Guayaquil",-2.1833,-79.8856,,
USA,Cincinnati,CVGA,ITS ConGlobal,"2700 E. Crescentville Road, West Chester OH 45069",39.3035,-84.4275,,
Germany,Hamburg,HAMA,HCCR,"Altenwerder Damm 22, 21129 Hamburg",53.5115,9.8925,,
Germany,Hamburg,HAMB,REMAIN GMBH,"Dradenauer Deichweg 1, 21129 Hamburg",53.5468,9.8839,,
Germany,Hamburg,HAMG,CMR Container Maintenance Rep.,"Witts Weide 9, 21107 Hamburg",53.4847,10.0265,,
Germany,Hamburg,HAMK,HCS Hamburger Container Service GmbH,"Neuhoefer Brueckenstrasse 43-51, 21107 Hamburg",53.4865,10.0114,,
Vietnam,Ho Chi Minh,HCM01,VIETNAM MARITIME DEVELOPMENT JOINT,"Giang Dien Industrial Zone, Phuoc Tan Ward, Bien Hoa City",10.934,106.8606,,
Vietnam,Ho Chi Minh,HCMF,Southern Logistics Corporation,"Song Than I/P, Di An District",10.9007,106.7559,,
Vietnam,Ho Chi Minh,HCMG,ECS Bien Hoa Container Depot,"Bien Hoa 1 Industrial Zone, Bien Hoa",10.9634,106.8377,,
Vietnam,Ho Chi Minh,HCMH,Greating Fortune Container HCM,"Thuan An Town, Binh Duong",10.98,106.677,,
