ORIGIN,DESTINATION,Container Size,Price,Free Days,Per Diem
Shanghai,"Miami, FL",20GP,$380,75,$5.00
Chengdu,Gdansk,40HC,"$1,770",60,$10.00
Shanghai,"Memphis, TN",20GP,$345,100,$5.00
Chengdu,Duisburg,40HC,"$1,610",60,$10.00
Chengdu,Barcelona (Spain),40HC,"$1,950",60,$10.00
Shanghai,Lyon,20GP,"$1,105",60,$5.00
Chengdu,Aarhus,40HC,"$1,430",60,$10.00
Shanghai,"Los Angeles, CA",20GP,$410,100,$5.00
Shanghai,"Long Beach, CA",20GP,$400,100,$5.00
Shanghai,London,40GP,$390,100,$10.00
Changsha,St Petersburg,40HC,"$2,300",60,$10.00
Shanghai,Leeds,40GP,"$1,160",60,$10.00
Shanghai,Le Havre,20GP,$150,100,$5.00
Changsha,Southampton,40HC,"$2,110",60,$10.00
Changsha,Novosibirsk,40HC,"$2,300",60,$10.00
Shanghai,Istanbul,20GP,$270,100,$5.00
Shanghai,Houston,40GP,$970,75,$10.00
Changsha,Moscow,40HC,"$2,020",60,$10.00
Shanghai,Houston,20GP,$375,100,$5.00
Changsha,Minsk,40HC,"$1,540",60,$10.00
Shanghai,Hamburg,40GP,"$1,060",75,$10.00
Changsha,Liverpool,40HC,"$2,110",60,$10.00
Changsha,Istanbul,40HC,"$2,460",60,$10.00
Shanghai,"Halifax, NS",20GP,$30,100,$5.00
Changsha,Helsinki,40HC,$10,60,$10.00
Changsha,Gdansk,40HC,"$2,210",60,$10.00
Shanghai,Gdansk,20GP,$240,100,$5.00
Shanghai,Fos Sur Mer,20GP,$150,100,$5.00
Changsha,Budapest,40HC,"$2,150",60,$10.00
Shanghai,"El Paso, TX",20GP,$90,75,$5.00
